指标名称,指标类别,业务含义,负责岗位,数据来源,计算方式,管理动作,对应价值
商务月度回款完成率,结果指标,衡量商务目标达成进度，避免只看订单数不看金额。,商务负责人 / 商务经理,官方BI订单；5月BI未更新时用和优每日平台日报估算并标注,本月回款金额 / 月度目标,拆到客户、产品、预计回款日；低完成人员每周一张缺口表。,收入预测更稳定，管理层能看到缺口来源。
个人KPI缺口金额,过程+结果,定位谁拖缺口，以及缺口来自新增、续费还是大客户延期。,商务负责人 / HRBP,BI个人目标、订单明细、商务例会纪要,个人目标 - 已回款金额,对缺口人员拉客户清单、报价状态、预计回款日和主管支持项。,从泛泛催业绩转为具体客户推进。
渠道新增用户数,渠道输入,衡量渠道供给量，不等同于有效增长。,渠道负责人 / 渠道经理,渠道每日业绩 Google Sheet、渠道日报,各渠道新增用户求和,按渠道来源、负责人、产品分层，低质量新增进入复盘。,保证商务有足够线索池，同时避免低质流量堆量。
渠道充值/消耗比,质量指标,衡量渠道投放质量和回收效率，是渠道管理核心健康度指标。,渠道负责人 / 渠道运营,收费APP、免费盒子、渠道每日投放表,充值金额 / 投放消耗,低于阈值的渠道暂停加量，检查素材、落地页、到账和统计口径。,降低无效消耗，提高渠道预算效率。
伙伴活跃与贡献,生态指标,判断外部渠道伙伴是否持续贡献有效商机。,渠道经理 / 渠道BD,伙伴报备、链接同步群、渠道合作记录,活跃伙伴数、有效商机数、成交额、异常次数,做伙伴分级，A类给政策和资源，C类限期激活或淘汰。,渠道生态从人情维护变成经营资产管理。
商机流转及时率,协同过程,衡量渠道给到商务后的响应和转化效率。,渠道经理 / 商务经理,Telegram商机、CRM/表格、工作Agent任务,规定时限内完成确认的商机数 / 总商机数,超时商机自动提醒，明确归属、下一步、放弃原因。,减少渠道线索浪费，提高转化可追踪性。
报价支持时效,商务过程,衡量报价、折扣、产品方案对客户推进的支撑速度。,商务支持 / 售前 / 财务,报价申请、售前方案、财务审批记录,报价完成时间 - 需求提出时间,复杂报价设 SLA，超 SLA 触发主管协调。,缩短销售周期，减少客户等待造成的流失。
合同审核周期,风控过程,衡量法务、商务、客户三方条款确认速度。,商务经理 / 法务,合同台账、法务审核记录,合同提交至定稿/签署的天数,高频争议条款沉淀模板，超期合同拉专门清单。,在不牺牲合规的前提下加快签约。
应收账款逾期率,财务风险,衡量已签约或已交付客户的回款风险。,商务负责人 / 财务,财务到账、开票、合同账期,逾期应收金额 / 应收总金额,账龄分层，逾期客户指定回款责任人和升级节点。,保护现金流，减少收入确认和坏账风险。
管理动作闭环率,组织管理,衡量会议和Agent识别的问题是否真的被处理。,HRBP / 业务负责人,工作Agent、主动提醒、会议纪要、闭环记录,已完成任务 / 应完成任务,每周复盘高优任务，未闭环必须给责任人、日期、验收标准。,让管理从发现问题走向结果闭环。
